Division,Cat,Category,DeptID,ClassID,YR,MX,Sales,SalesLY,Units,UnitsLY,StockEOM,StockEOMLY,GM,GMLY,MKDN,MKDNLY,OnPO
Clothing,W,Whistler,1,12W,2025,202506,11246,4448,232,118,43406,14476,8398,3119,7,0,0
Clothing,W,Whistler,1,12W,2025,202507,8121,3220,201,75,32691,16845,5719,2367,177,14,0
Clothing,W,Whistler,1,12W,2025,202508,5319,3027,135,97,21042,17367,3672,1922,7,898,0
Clothing,W,Whistler,1,12W,2025,202509,1361,1212,29,43,15776,18729,1005,725,14,66,0
Clothing,W,Whistler,1,12W,2025,202510,2263,819,50,24,27586,16513,1646,542,77,18,0
Clothing,W,Whistler,1,12W,2025,202511,7909,5937,165,115,86460,18911,5953,4198,12,42,0
Clothing,W,Whistler,1,12W,2025,202512,6945,6572,145,121,85417,47550,5240,4742,46,7,0
Clothing,B,Banff,1,13B,2025,202501,4868,4675,178,196,49377,55762,3267,2971,15,7,0
Clothing,B,Banff,1,13B,2025,202502,9150,8937,340,379,65425,51127,6095,5628,213,40,0
Clothing,B,Banff,1,13B,2025,202503,7970,5772,305,269,67661,42205,5226,3482,34,57,0
Clothing,B,Banff,1,13B,2025,202504,15620,12341,586,526,69756,53469,10295,8032,35,108,0
Clothing,B,Banff,1,13B,2025,202505,38649,35506,1476,1437,73128,43678,25290,23598,88,-236,0
Clothing,B,Banff,1,13B,2025,202506,31764,40994,1209,1624,51122,46345,20998,27454,52,31,0
Clothing,B,Banff,1,13B,2025,202507,35785,24954,1370,1092,55536,30485,23467,16075,514,366,0
Clothing,B,Banff,1,13B,2025,202508,39668,30762,1467,1195,60259,25476,26700,19848,40,742,0
Clothing,B,Banff,1,13B,2025,202509,7594,7085,278,302,37895,39171,5079,4444,19,237,0
Clothing,B,Banff,1,13B,2025,202510,2824,3236,111,128,40703,40649,1816,2050,9,26,0
Clothing,B,Banff,1,13B,2025,202511,4581,5633,155,210,38007,47180,3155,3737,7,136,0
Clothing,B,Banff,1,13B,2025,202512,3816,3640,142,128,59775,51650,2546,2481,17,22,0
Clothing,C,Canmore,1,13C,2025,202501,473,1337,17,66,13388,10379,316,828,0,9,0
Clothing,C,Canmore,1,13C,2025,202502,1334,2123,41,107,12992,9045,954,1299,3,69,0
Clothing,C,Canmore,1,13C,2025,202503,1782,986,59,47,11742,10995,1249,609,0,0,0
Clothing,C,Canmore,1,13C,2025,202504,3596,1817,109,87,9985,10030,2532,1126,69,3,0
Clothing,C,Canmore,1,13C,2025,202505,6179,3712,217,160,10225,8246,4166,2403,18,-19,0
Clothing,C,Canmore,1,13C,2025,202506,5920,3528,236,149,21202,10311,3826,2295,83,21,0
Clothing,C,Canmore,1,13C,2025,202507,5229,3680,201,173,15009,15318,3464,2338,47,30,0
Clothing,C,Canmore,1,13C,2025,202508,4518,5341,198,212,9217,10655,2769,3481,5,536,0
Clothing,C,Canmore,1,13C,2025,202509,1236,768,50,33,15557,11036,795,469,0,15,0
Clothing,C,Canmore,1,13C,2025,202510,242,741,12,27,14398,9906,140,473,7,14,0
Clothing,C,Canmore,1,13C,2025,202511,620,539,26,21,14087,9151,400,332,3,6,0
Clothing,C,Canmore,1,13C,2025,202512,400,407,17,12,13089,15326,256,297,22,20,0
Clothing,H,Halifax,1,13H,2025,202501,316,138,16,6,1618,12922,197,93,22,0,0
Clothing,H,Halifax,1,13H,2025,202502,131,144,15,6,2473,12784,19,99,107,0,0
Clothing,H,Halifax,1,13H,2025,202503,111,601,14,26,1331,12646,6,406,0,0,0
Clothing,H,Halifax,1,13H,2025,202504,254,885,30,39,1185,11540,34,592,4,0,0
Clothing,H,Halifax,1,13H,2025,202505,48,1725,5,79,947,10645,10,1140,0,19,0
Clothing,H,Halifax,1,13H,2025,202506,443,1532,28,71,886,8952,232,1012,0,0,0
Clothing,H,Halifax,1,13H,2025,202507,174,3079,10,138,463,7441,98,2056,12,0,0
Clothing,H,Halifax,1,13H,2025,202508,63,1290,9,57,87,4531,-4,866,0,-16,0
Clothing,H,Halifax,1,13H,2025,202509,14,405,2,18,31,3438,-1,269,0,0,0
Clothing,H,Halifax,1,13H,2025,202510,0,87,0,4,10,3125,0,57,0,4,0
Clothing,H,Halifax,1,13H,2025,202511,0,115,0,5,28,3056,0,77,0,0,0
Clothing,H,Halifax,1,13H,2025,202512,0,49,0,2,56,2869,0,34,0,0,0
Clothing,N,Niagara,1,13N,2025,202501,118,920,9,45,11376,19161,60,595,70,38,0
Clothing,N,Niagara,1,13N,2025,202502,377,1516,19,93,19032,19248,228,854,4,152,0
Clothing,N,Niagara,1,13N,2025,202503,654,1981,36,103,18669,18279,400,1221,51,146,0
Clothing,N,Niagara,1,13N,2025,202504,1105,4027,52,199,17957,16014,687,2516,25,365,0
Clothing,N,Niagara,1,13N,2025,202505,2839,6912,148,323,16867,12998,1616,4525,24,339,0
Clothing,N,Niagara,1,13N,2025,202506,3284,4412,165,194,12694,21002,1883,2973,4,8,0
Clothing,N,Niagara,1,13N,2025,202507,3392,4389,170,192,9444,27036,1974,2977,2,9,0
Clothing,N,Niagara,1,13N,2025,202508,2926,4713,160,220,5472,20274,1636,3123,0,169,0
Clothing,N,Niagara,1,13N,2025,202509,1137,1155,57,54,7196,14159,669,766,0,15,0
Clothing,N,Niagara,1,13N,2025,202510,335,383,20,24,5808,12527,170,217,7,97,0
Clothing,N,Niagara,1,13N,2025,202511,379,356,20,19,5498,12029,208,217,2,36,0
